node,import_resilience,export_resilience,import_impact_to_network,export_impact_to_network,import_resilience_network,export_resilience_network
CT,0.8464001952012259,0.6069933705671868,23470.99790979866,9167.446416733212,0.04340960099445145,0.017839013027615903
MA,0.9485464173204177,0.9725665828839356,62713.51884471712,23001.768116157524,0.11598862734637493,0.04475933890743737
NJ,0.9770858280868119,0.9090076885372796,144062.9969344376,170827.58066912572,0.26644445366245034,0.33241486216600863
PA,0.7314899505819958,0.6810914868186404,151682.01423737244,116295.15985549409,0.2805358230350387,0.2262997543049841
RI,0.8116144522993438,0.8153620497330687,3978.66559302329,5342.615708951979,0.007358540380227708,0.010396241974163842
ME,0.9644054304792099,0.8240321125553148,11766.541924934225,18618.058781909014,0.021762214457555672,0.03622904111587338
NH,0.9160508869069133,0.6128742331617733,10155.657869149045,3443.01161646345,0.01878288505798358,0.0066997859914638205
NY,0.8337044096107346,0.8417660748903594,132856.39882728984,158235.95047032248,0.24571785506591748,0.30791270039221597
VT,0.0,0.5355119774960946,0.0,8967.153914354405,0.0,0.01744926212023699
