node,import_resilience,export_resilience,import_impact_to_network,export_impact_to_network,import_resilience_network,export_resilience_network
IL,0.9314816103291208,0.988209176668317,162561.80017737302,55156.132615641356,0.17953963064688078,0.05993966731954566
IN,0.8961419235875985,0.97451661085788,74521.23212383647,55289.68922781473,0.08230417279007446,0.06008480691730868
IA,0.8713838878324909,0.9685409478908843,137901.83346514634,254104.42497857023,0.15230419581257945,0.2761421799417588
KS,0.9733196274246868,0.8867039699515765,40559.23070414853,32038.71052328587,0.044795205835559106,0.034817336877030994
MI,0.9820440356345849,0.9806405142267217,84112.71633616161,72327.36388043595,0.09289738430075713,0.0786001106949192
MN,0.9422680458201477,0.9576719672970772,100832.25571332396,118490.77889804322,0.11136309962309231,0.12876714756408536
MO,0.8405190007529301,0.9833892817465323,34772.219299693155,57461.074855006395,0.03840380337217876,0.06244451065185591
NE,0.831464237362424,0.8915577142020352,81897.85479609731,101232.61086559625,0.0904512043101121,0.11001222764215565
ND,0.7646018773485713,0.6555052100303479,5914.957879321793,17678.62197461855,0.006532711570532346,0.01921183864015415
OH,0.9087101055267787,0.6841189933936842,120478.57499897215,59729.2982655802,0.13306126551610836,0.06490945063565826
WI,0.8545500628493006,0.8413011478969465,56882.688273870786,51409.711505055646,0.06282347286846743,0.05586832974821368
SD,0.8722435286035929,0.9661018078181199,5001.500458985288,45275.75568791244,0.005523853353657752,0.04920239336731355
