node,import_resilience,export_resilience,import_impact_to_network,export_impact_to_network,import_resilience_network,export_resilience_network
AL,0.9407089203264987,0.9889438157660202,53939.55259414063,65002.21208589373,0.038950305567925586,0.04694869430215472
AR,0.9711911964729146,0.9628920563240086,112328.82676071506,105457.76004738093,0.08111380083808305,0.07616824073174769
GA,0.9373198874400959,0.9890491294119974,151099.1613029861,216828.5765409716,0.10911025807151213,0.1566072634965384
KY,0.836571293944624,0.8919137192359804,34133.259478297485,63198.06908081704,0.024647977648472395,0.045645628518627364
LA,0.9211122693866429,0.8759132584969052,123463.42191655803,51874.562156570784,0.08915420649288151,0.03746707815925985
MS,0.905689226883532,0.8731468109886555,25709.70321903356,5723.444476004353,0.01856524105746509,0.0041338323179557985
NC,0.9002637201888268,0.9457230777952635,84365.2974923063,106270.75485377079,0.060921048815136734,0.07675543681953621
SC,0.7273189675549638,0.7951387426425556,28400.396778708913,29085.314270770814,0.020508218544274818,0.02100724705454833
TN,0.8411179675181125,0.9304438816779169,46799.27662239462,100052.83776465991,0.03379423886801315,0.07226446521649194
TX,0.7416552197806601,0.7071692912220503,333831.0127806432,329104.5225076152,0.2410628069849545,0.23770002781212554
VA,0.9594015744538826,0.7988263943929779,69573.08578629438,50346.64354515229,0.050239440639595484,0.036363519041744424
FL,0.9469403515242283,0.9421058333840586,225903.82268657972,167486.73142244,0.16312747324419938,0.1209694732054458
OK,0.8713182806829749,0.8762978511293599,45178.84948770398,48350.52305596562,0.03262411177182335,0.03492179501990256
DE,0.7888931009803968,0.8645680699988112,3948.703166678903,3396.535694668841,0.002851399159656472,0.0024531921437481283
DC,0.7989995840635129,0.0,1625.599871235752,0.0,0.0011738623824382839,0.0
MD,0.7788195331618865,0.8527692576553535,42133.74685159293,40365.54274438511,0.03042521184666704,0.02915453898926553
WV,0.6069105434058446,0.5363055240919102,2396.307196502915,1993.13424890994,0.0017303980669010348,0.0014395671709076258
