node,import_resilience,export_resilience,import_impact_to_network,export_impact_to_network,import_resilience_network,export_resilience_network
AK,0.09583834810020353,0.15024289669852575,1402.9199238729468,2287.048217675336,0.0014868069541336044,0.002511605028552857
CO,0.8937517484024619,0.9318858235897518,95977.940294354,58930.722789886684,0.10171690247232448,0.06471691263500291
WA,0.765065445872673,0.6779130514078313,92954.73773682497,69298.82237714536,0.09851292873882739,0.07610301759712941
AZ,0.6432841797750413,0.747539132852664,18830.562644568337,23976.103822732905,0.019956528532934444,0.026330228834217703
CA,0.9799187411497681,0.938493597552183,569211.9581940211,604928.0863252323,0.6032477573506339,0.6643237391259025
NM,0.8620899719669262,0.738744125298618,17824.707667651022,11745.882892555766,0.01889052886389988,0.012899167717470456
HI,0.43508426427670466,0.0,2671.593296106265,0.0,0.0028313401382894917,0.0
MT,0.9217614740380158,0.5482328018149238,19387.28793821406,2983.5749941768886,0.020546542990673013,0.0032765211946672664
NV,0.8234091720329603,0.9514179657844095,14484.53202845867,27405.297425609915,0.015350628771335079,0.03009612228163335
OR,0.7928506099333573,0.9071646372503528,30220.89006377472,34805.620188795976,0.03202793598004148,0.038223055383124614
UT,0.9745919443104489,0.7427274571513747,56117.89238234614,28368.83700552277,0.059473439093413114,0.03115426825136663
ID,0.9264057791884763,0.8322123753007338,23438.36304956383,44657.74832683933,0.024839850502226958,0.049042527566622536
WY,0.5132658929935967,0.5842888330392423,1055.685333125201,1204.56281402608,0.00111880961126727,0.001322834384309933
