node,import_resilience,export_resilience,import_impact_to_network,export_impact_to_network,import_resilience_network,export_resilience_network
CT,0.8490775429410513,0.0,10502.802067917275,0.0,0.04923172099016675,0.0
NY,0.8026764196724553,0.8489054047349291,129257.59569744307,127778.96434401619,0.6058929651426063,0.5426726111706215
MA,0.7953494815790977,0.8468220933810222,16921.162082093753,15662.208043994448,0.07931768351607388,0.06651682755112268
ME,0.43929616718404885,0.0,1012.3941512960395,0.0,0.004745581804396226,0.0
NH,0.6125733707890553,0.8792198968382545,1219.598035986012,896.8476910556442,0.005716846784272048,0.0038088795039627416
PA,0.7415333754636965,0.9385869119932504,40453.983232217695,42575.123981282326,0.18962741586011506,0.18081500206584972
RI,0.7672806692100933,0.8732687482737357,1536.223667714344,3205.0250987319682,0.007201024497874876,0.013611624950360661
NJ,0.6288089403247514,0.8553992420784142,12430.283765464987,45344.173538441835,0.0582667614044949,0.19257505475808281
VT,0.0,0.0,0.0,0.0,0.0,0.0
